# RiF 1e-20 (cm^2/W)
# 1w(eV) RpP                     RpS                     RsP                     RsS
00.01    1.22835073348968e-08    1.70774978617155e-09    7.50571809356912e-12    7.93641951344849e-10
00.02    1.64533033932717e-08    2.28865024879772e-09    1.00553624558535e-11    1.06360870958548e-09
00.03    2.54750119760372e-08    3.54604571240675e-09    1.55725585640890e-11    1.64797102188259e-09
00.04    4.07096110185926e-08    5.67084908448254e-09    2.48913755654964e-11    2.63545866850948e-09
00.05    6.41902809488425e-08    8.94871764276691e-09    3.92584669248996e-11    4.15883697729509e-09
00.06    9.86124651263882e-08    1.37591959065347e-08    6.03277193269701e-11    6.39451037033531e-09
00.07    1.47321474325806e-07    2.05746885108935e-08    9.01536279158513e-11    9.56204733196239e-09
00.08    2.14299220965412e-07    2.99594795176497e-08    1.31184391561676e-10    1.39237280712729e-08
00.09    3.04151984755017e-07    4.25690609351813e-08    1.86255878280173e-10    1.97842367976607e-08
00.10    4.22100736454238e-07    5.91499808319175e-08    2.58587419556078e-10    2.74905969617756e-08
00.11    5.73974667659231e-07    8.05403029601597e-08    3.51779809849991e-10    3.74323916501713e-08
00.12    7.66207622766982e-07    1.07670637649037e-07    4.69815233886153e-10    5.00422501986017e-08
00.13    1.00583649289148e-06    1.41565619551563e-07    6.17058568699531e-10    6.57965425707664e-08
00.14    1.30050048010743e-06    1.83345689866464e-07    7.98259278257513e-10    8.52162130249030e-08
00.15    1.65844034935989e-06    2.34229062198859e-07    1.01855349589503e-09    1.08867700591775e-07
00.16    2.08849719842877e-06    2.95533818159182e-07    1.28346605684679e-09    1.37363919327673e-07
00.17    2.60011061347923e-06    3.68680108296398e-07    1.59891255892280e-09    1.71365292035711e-07
00.18    3.20331632987298e-06    4.55192477394913e-07    1.97120158057549e-09    2.11580846212191e-07
00.19    3.90874359648135e-06    5.56702345506481e-07    2.40703699937184e-09    2.58769383802364e-07
00.20    4.72761237812873e-06    6.74950669006840e-07    2.91352032305440e-09    3.13740734540063e-07
00.21    5.67173047169012e-06    8.11790813228661e-07    3.49815286849234e-09    3.77357103704734e-07
00.22    6.75349048769800e-06    9.69191635470870e-07    4.16883786002222e-09    4.50534518574247e-07
00.23    7.98586661651959e-06    1.14924079292943e-06    4.93388249227247e-09    5.34244382294643e-07
00.24    9.38241120140769e-06    1.35414826341186e-06    5.80200026109092e-09    6.29515140354450e-07
00.25    1.09572511661407e-05    1.58625010133760e-06    6.78231355988842e-09    7.37434063711218e-07
00.26    1.27250844580165e-05    1.84801245982171e-06    7.88435629710643e-09    8.59149154787449e-07
00.27    1.47011766137831e-05    2.14203590533642e-06    9.11807645106188e-09    9.95871180058165e-07
00.28    1.69013573977902e-05    2.47106006282920e-06    1.04938385970726e-08    1.14887583369625e-06
00.29    1.93420173786892e-05    2.83796858249723e-06    1.20224267056324e-08    1.31950603782164e-06
00.30    2.20401042389738e-05    3.24579441339000e-06    1.37150474748554e-08    1.50917438821271e-06
00.31    2.50131187305064e-05    3.69772535178111e-06    1.55833342804782e-08    1.71936575035549e-06
00.32    2.82791102741147e-05    4.19710983508408e-06    1.76393513437856e-08    1.95164001678005e-06
00.33    3.18566722811419e-05    4.74746300750664e-06    1.98955978215913e-08    2.20763503543241e-06
00.34    3.57649373751208e-05    5.35247313789742e-06    2.23650112428626e-08    2.48906971422076e-06
00.35    4.00235726539733e-05    6.01600848782123e-06    2.50609700880470e-08    2.79774731715464e-06
00.36    4.46527752930330e-05    6.74212477754932e-06    2.79972956795740e-08    3.13555896990737e-06
00.37    4.96732686885439e-05    7.53507327402549e-06    3.11882539086023e-08    3.50448738948650e-06
00.38    5.51062989753663e-05    8.39930944668698e-06    3.46485581505655e-08    3.90661086181623e-06
00.39    6.09736314788471e-05    9.33950210160580e-06    3.83933741227999e-08    4.34410747335682e-06
00.40    6.72975464389661e-05    1.03605428837043e-05    4.24383267166320e-08    4.81925961030063e-06
00.41    7.41008334828492e-05    1.14675561657721e-05    4.67995074943209e-08    5.33445872445004e-06
00.42    8.14067851470133e-05    1.26659094460431e-05    5.14934803473647e-08    5.89221039057828e-06
00.43    8.92391902006607e-05    1.39612243999359e-05    5.65372845272337e-08    6.49513966187069e-06
00.44    9.76223280095692e-05    1.53593887866251e-05    6.19484343107836e-08    7.14599675576610e-06
00.45    1.06580964613614e-04    1.68665693044391e-05    6.77449175267815e-08    7.84766309290922e-06
00.46    1.16140350527344e-04    1.84892254999861e-05    7.39451947837860e-08    8.60315773543022e-06
00.47    1.26326219232506e-04    2.02341246825187e-05    8.05682000973312e-08    9.41564425924190e-06
00.48    1.37164784834973e-04    2.21083577427957e-05    8.76333444162001e-08    1.02884381075299e-05
00.49    1.48682737460246e-04    2.41193557002785e-05    9.51605200478737e-08    1.12250144372933e-05
00.50    1.60907236470705e-04    2.62749069663322e-05    1.03170107509655e-07    1.22290164526697e-05
00.51    1.73865902414139e-04    2.85831754867220e-05    1.11682982131765e-07    1.33042642264085e-05
00.52    1.87586810021597e-04    3.10527201608945e-05    1.20720519171839e-07    1.44547640537282e-05
00.53    2.02098483681925e-04    3.36925159261301e-05    1.30304595207914e-07    1.56847184284661e-05
00.54    2.17429895762891e-04    3.65119766171177e-05    1.40457585053771e-07    1.69985367635077e-05
00.55    2.33610466706540e-04    3.95209796350473e-05    1.51202353353119e-07    1.84008469702594e-05
00.56    2.50670064553719e-04    4.27298920628960e-05    1.62562249796312e-07    1.98965079155415e-05
00.57    2.68639002828327e-04    4.61495983054579e-05    1.74561103882298e-07    2.14906226550532e-05
