# RiF 1e-20 (cm^2/W) 1w RpP RpS RsP RsS
00.01    7.37359740147781e-05    3.16949340921116e-07    8.74573088113129e-09    1.07805232942777e-07    2.02880291862439e-05    1.15128077081424e+00    2.18720197469887e-01
00.02    2.94955875503098e-04    1.26806442202642e-06    3.49868690751371e-08    4.31307197637211e-07    8.11523917659061e-05    4.60546625016578e+00    8.74955223721362e-01
00.03    6.63696429584458e-04    2.85408108504604e-06    7.87387677466657e-08    9.70741671750425e-07    1.82592655800711e-04    1.03634987184568e+01    1.96891012904423e+00
00.04    1.18001113633910e-03    5.07630247013250e-06    1.40022630702051e-07    1.72652970649680e-06    3.24609324343134e-04    1.84270890804164e+01    3.50095534269928e+00
00.05    1.84399953350115e-03    7.93646645984758e-06    2.18871584755695e-07    2.69922834679345e-06    5.07205546974229e-04    2.87985431987290e+01    5.47159351923087e+00
00.06    2.65576787344635e-03    1.14369541484107e-05    3.15318455103012e-07    3.88960391126547e-06    7.30380363078983e-04    4.14806935294993e+01    7.88144621819970e+00
00.07    3.61543890755619e-03    1.55804751275438e-05    4.29434560284154e-07    5.29853240639313e-06    9.94132724392302e-04    5.64772852316151e+01    1.07313189724853e+01
00.08    4.72321190901861e-03    2.03704762093790e-05    5.61256618496749e-07    6.92711566699119e-06    1.29847351946741e-03    7.37923031533378e+01    1.40220880844502e+01
00.09    5.97915473989195e-03    2.58109342889650e-05    7.10846241355083e-07    8.77663920353148e-06    1.64338318793458e-03    9.34313622653423e+01    1.77549554760663e+01
00.10    7.38361474751509e-03    3.19059306368792e-05    8.78319704810240e-07    1.08484103165464e-05    2.02888436683643e-03    1.15399297861686e+02    2.19310015888464e+01
00.11    8.93682962883219e-03    3.86606550167038e-05    1.06372345548461e-06    1.31440996725721e-05    2.45499430880026e-03    1.39702720421457e+02    2.65516761417553e+01
00.12    1.06388859398615e-02    4.60806745313862e-05    1.26721595964973e-06    1.56654984908299e-05    2.92166076806894e-03    1.66348840888340e+02    3.16185143085302e+01
00.13    1.24902232413645e-02    5.41713852327583e-05    1.48879081910629e-06    1.84143330987790e-05    3.42893559050192e-03    1.95345297879492e+02    3.71331675075822e+01
00.14    1.44911386684704e-02    6.29406456490667e-05    1.72868872208621e-06    2.13931588992855e-05    3.97680908512058e-03    2.26699251156351e+02    4.30973117767647e+01
00.15    1.66418666712132e-02    7.23949181244107e-05    1.98693299748786e-06    2.46040445384902e-05    4.56525811881126e-03    2.60421894678699e+02    4.95132326295180e+01
00.16    1.89428435388660e-02    8.25418251285259e-05    2.26379122883921e-06    2.80493912811616e-05    5.19433176023906e-03    2.96521025140349e+02    5.63826782651887e+01
00.17    2.13945193117173e-02    9.33898048647058e-05    2.55919638259697e-06    3.17319691379330e-05    5.86402284871637e-03    3.35007239401455e+02    6.37081030442408e+01
00.18    2.39971104429144e-02    1.04947610551210e-04    2.87352696335833e-06    3.56545621286780e-05    6.57428874228789e-03    3.75892748766870e+02    7.14919768165476e+01
00.19    2.67514314529306e-02    1.17225577329046e-04    3.20687084681788e-06    3.98204923487354e-05    7.32520754101778e-03    4.19186859922536e+02    7.97364886429898e+01
00.20    2.96575496080785e-02    1.30234493433926e-04    3.55932054137330e-06    4.42332632785263e-05    8.11675889865037e-03    4.64905491702677e+02    8.84450823527104e+01
00.21    3.27160778510283e-02    1.43984539519764e-04    3.93113136924373e-06    4.88960895329733e-05    8.94889463896826e-03    5.13058957002678e+02    9.76200300143906e+01
00.22    3.59274485162299e-02    1.58488022479901e-04    4.32252851991692e-06    5.38129952386582e-05    9.82163559842249e-03    5.63662475802413e+02    1.07264606213423e+02
00.23    3.92925325107930e-02    1.73754168830885e-04    4.73356977153454e-06    5.89868072127835e-05    1.07350717012815e-02    6.16730533009008e+02    1.17382068595422e+02
00.24    4.28116511764123e-02    1.89802594098487e-04    5.16475735513766e-06    6.44240114686216e-05    1.16891615843957e-02    6.72277772247209e+02    1.27975790100810e+02
00.25    4.64852000164264e-02    2.06639635424543e-04    5.61605399742090e-06    7.01265155002773e-05    1.26838433634837e-02    7.30322554923377e+02    1.39049434582801e+02
00.26    5.03143724626290e-02    2.24283817647220e-04    6.08779779248901e-06    7.61002317058919e-05    1.37192117488088e-02    7.90880412559119e+02    1.50606526480984e+02
00.27    5.42994763534224e-02    2.42753435972496e-04    6.58008421019076e-06    8.23511872468934e-05    1.47952686084144e-02    8.53968814379060e+02    1.62651287011622e+02
00.28    5.84417066878420e-02    2.62058602550828e-04    7.09356720014770e-06    8.88824581405599e-05    1.59120927250322e-02    9.19602044621861e+02    1.75186727420514e+02
00.29    6.27403303728174e-02    2.82221127159514e-04    7.62809243376619e-06    9.57011500581083e-05    1.70693930209699e-02    9.87808325411894e+02    1.88218667825076e+02
00.30    6.71983673113379e-02    3.03255952893816e-04    8.18417293600329e-06    1.02811995912354e-04    1.82676795165070e-02    1.05860121042128e+03    2.01750824502590e+02
00.31    7.18147097461383e-02    3.25184012642275e-04    8.76210250354505e-06    1.10221807640758e-04    1.95064484251863e-02    1.13199981663857e+03    2.15787095776055e+02
00.32    7.65908936158700e-02    3.48023799497377e-04    9.36219941988400e-06    1.17936383624105e-04    2.07859730933311e-02    1.20803370500114e+03    2.30333488346272e+02
00.33    8.15273265405011e-02    3.71796025892340e-04    9.98481695351431e-06    1.25962408666480e-04    2.21062551408390e-02    1.28671977871261e+03    2.45394626180262e+02
00.34    8.66262519387915e-02    3.96524697430462e-04    1.06299136786671e-05    1.34307555543935e-04    2.34673577446951e-02    1.36807599297407e+03    2.60974376551135e+02
