#	RpP		RpS		RsP
# two-photon energy [eV] R in	10e-22	cm^2/W
3.1868	10.1325		-0.09039	-0.07237
3.1744	8.42059		0.21196		-0.0732
3.162	8.80828		0.06924		-0.15178
3.1496	6.2845		-0.06095	-0.07728
3.1372	7.07148		0.04198		-0.17141
3.1248	5.64398		0.21399		-0.01403
3.1124	6.31643		0.23503		-0.12609
3.1	5.65877		0.10735		-0.1127
3.0876	4.93106		0.09365		-0.18385
3.0752	4.52724		-0.00759	-0.24234
3.0628	3.94853		0.08254		-0.11259
3.0504	3.14944		0.13331		-0.25036
3.038	4.20635		0.18756		-0.30182
3.0256	3.40152		-0.01464	-0.20693
3.0132	3.08886		0.07447		-0.25696
3.0008	2.32793		0.12025		-0.08514
2.9884	2.46241		0.23765		0.00807
2.976	2.73604		-0.00258	-0.43291
2.976	2.4983		0.39135		-0.17838
2.9512	2.51837		0.39382		-0.17726
2.9264	1.7643		-0.08061	-0.09135
2.9016	1.6106		-0.22523	-0.35686
2.8768	1.50078		-0.02612	-0.3152
2.852	1.19555		-0.0206		-0.341
2.8272	0.76892		0.22553		-0.26655
2.8024	0.67979		0.45183		-0.41764
2.7776	0.77528		0.39056		-0.09947
2.7528	0.80276		-0.48455	-0.51278
2.728	0.33517		-0.62198	-0.45288
2.7032	0.08259		-0.41406	-0.40641
2.6784	0.66821		-0.52485	-0.59579
2.6536	0.17334		0.31348		-0.63291
2.6288	0.15974		-0.65886	-0.91841
2.604	0.00936		-1.29671	-1.10842
2.5792	0.07871		-0.32963	-0.92766
2.5544	0.40388		0.59302		-0.51845
2.5296	-0.07758	-0.50921	-0.80424
2.5048	0.78055		-1.97799	-0.82735
2.48	-1.19233	-6.20554	-1.14676
2.4552	-0.88715	-3.37693	-2.7815
2.4304	-1.45713	-0.64732	-1.63049
2.4056	-1.85656	-0.64582	-2.94357
2.3808	-0.08868	-0.70074	-2.51717
2.356	-0.06708	-0.03413	-3.96246
