# E(eV)         Rpp (esu cm) 
1.16591659967   0.18455972272e-13
1.16596625881   0.213326554466e-13
1.1918528603    0.209064989291e-13
1.21604868623   0.225361295597e-13
1.24023032383   0.233438507118e-13
1.26538859123   0.307263409658e-13
1.27830706241   0.290749211197e-13
1.30599085191   0.327572985427e-13
1.37874858961   0.475091041761e-13
1.46013046504   0.618448878109e-13
1.4766291239    0.675886263673e-13
1.49477599335   0.688108493402e-13
1.51405556419   0.856488456783e-13
1.53203926788   0.774191096487e-13
1.55096413056   0.737093690249e-13
1.57109263626   0.897249491585e-13
1.59103669371   0.950557060719e-13
1.61277084502   1.04084042187e-13
1.63378375639   1.21331979812e-13
1.65576620341   1.447437318e-13
1.67841313704   1.56648244364e-13
1.70151173239   1.44716875325e-13
1.71263301556   1.38956921539e-13
1.72545926261   1.31963090082e-13
