#E (eV)                 PP(111)H	            PS(111)H
3.475826973092174e+0    1.309157250000000e+0	2.133264060000000e+0
3.470048164436445e+0    1.372850890000000e+0	2.128836630000000e+0
3.464288539244654e+0    1.427081110000000e+0	2.123965980000000e+0
3.458548002152296e+0    1.450124260000000e+0	2.050570250000000e+0
3.452826458425921e+0    1.460788250000000e+0	1.932438140000000e+0
3.447123813957920e+0    1.458240270000000e+0	1.745362040000000e+0
3.441439984814342e+0    1.425781970000000e+0	1.536920070000000e+0
3.435774858986460e+0    1.390368220000000e+0	1.362551450000000e+0
3.430128353797994e+0    1.395788910000000e+0	1.270394440000000e+0
3.424500377593612e+0    1.426798460000000e+0	1.267034650000000e+0
3.418890839318534e+0    1.453116420000000e+0	1.293363330000000e+0
3.413299648513614e+0    1.477146030000000e+0	1.298018100000000e+0
3.407726715310481e+0    1.494041680000000e+0	1.290734770000000e+0
3.402171950426724e+0    1.505645280000000e+0	1.278102280000000e+0
3.396635265161126e+0    1.485566500000000e+0	1.223327040000000e+0
3.391116571388937e+0    1.440708640000000e+0	1.166328790000000e+0
3.385615781557204e+0    1.382453560000000e+0	1.087575320000000e+0
3.380132808680138e+0    1.327793360000000e+0	1.014279130000000e+0
3.374667566334529e+0    1.261383650000000e+0	9.400913720000000e-1
3.369219977811443e+0    1.209619160000000e+0	8.783159260000000e-1
3.363789939457291e+0    1.170018080000000e+0	8.318370580000000e-1
3.358377375695399e+0    1.155803680000000e+0	7.837630510000000e-1
3.352982202307904e+0    1.133981470000000e+0	7.379083630000000e-1
3.347604335617256e+0    1.101267460000000e+0	6.716449260000000e-1
3.342243692481882e+0    1.067001940000000e+0	6.057001350000000e-1
3.336900190291916e+0    1.022778150000000e+0	5.408760910000000e-1
3.331573746964940e+0    9.691268800000000e-1	4.831305440000000e-1
3.326264280941796e+0    9.162180420000000e-1	4.414082170000000e-1
3.320971711182412e+0    8.794103860000000e-1	4.116724130000000e-1
3.315695957161683e+0    8.431028130000000e-1	3.813058440000000e-1
3.310436938865387e+0    7.942098380000000e-1	3.576938810000000e-1
